Year,10th Marks,12th Marks,12th Division,Rank,College
2018,81,75,5,3256,"SCHOOL OF PHARMACY, SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY, NANDED"
2018,89,84,4,3264,"MANOHARBHAI PATEL INSTITUTE OF PHARMACY, GONDIA"
2018,81,75,2,7562,ROLAND INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,89,81,6,93,KAMALAKSHI PANDURANGAN COLLEGE OF PHARMACY
2018,94,84,1,3214,SMT. SLT INSTITUTE OF PHRMACEUTICAL SCIENCES
2018,84,88,1,5400,SHARDA SCHOOL OF PHARMACY
2018,85,82,7,3210,SCHOOL OF STUDIES IN PHARMACEUTICAL SCIENCES
2018,81,89,5,1752,THE PHARMACEUTICAL COLLEGE
2018,94,94,6,2547,REGIONAL INSTITUTE OF PHARMACEUTICAL SCIENCE AND TECHNOLOGY
2018,93,91,5,2388,SIMS COLLEGE OF PHARMACY
2018,92,84,4,2654,SRI VENKATESHWARA COLLEGE OF PHARMACY
2018,94,89,8,2000,GLOBAL COLLEGE OF PHARMACY
2018,89,89,1,3124,"COLLEGE OF PHARMACY, MADRAS MEDICAL COLLEGE"
2018,85,89,5,2954,BOMBAY COLLEGE OF PHARMACY
2018,81,88,4,3620,GOVERNMENT COLLEGE OF PHARMACY KARAD
2018,94,94,5,4520,SINHGAD INSTITUTE OF PHARMACY
2018,93,85,2,3520,TAPI VALLEY EDUCATION SOCIETY'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY
2018,92,89,6,5230,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, RTM NAGPUR UNIVERSITY, NAGPUR"
2018,94,94,2,5826,PIONEER PHARMACY DEGREE COLLEGE
2018,89,94,1,90,SHRI RAM INSTITUTE OF TECHNOLOGY PHARMACY
2018,95,86,9,985,RKDF INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,80,89,6,854,JYOTHISHMATHI INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,86,87,8,1232,THE ERODE COLLEGE OF PHARMACY
2018,85,88,6,3201,AL AMEEN COLLEGE OF PHARMACY
2018,94,93,1,2215,NAZARETH COLLEGE OF PHARMACY
2018,84,91,5,2956,GOA COLLEGE OF PHARMACY
2018,94,86,5,3965,M.C.E. S. ALLANA COLLEGE OF PHARMACY
2018,76,81,5,3562,"GOVT. COLLEGE OF PHARMACY, AURANGABAD"
2018,81,89,4,4512,APOLLO COLLEGE
2018,84,92,2,5123,"FACULTY OF TECHNOLOGY & ENGINEERING, THE MAHARAJA SAYAJIRAO UNIVERSITY OF BARODA"
2018,82,94,6,6845,BVM COLLEGE OF PHARMACY
2018,93,85,2,3520,DR. SATYENDRA KUMAR MEMORIAL COLLEGE OF PHARMACY
2018,92,89,6,5230,"SCHOOL OF PHARMACY, DEVI AHILYA VISHWAVIDYALAYA"
2018,94,94,2,5826,SIR C.R.REDDY COLLEGE OF PHARMACEUTICAL SCIENCES
2018,89,94,1,90,ADITYA BANGALORE INSTITUTE OF PHARMACY EDUCATION & RESEARCH
2018,95,86,9,985,GAUTHAM COLLEGE OF PHARMACY
2018,80,89,6,854,GOVT. COLLEGE OF PHARMACY
2018,86,87,8,1232,"SHRI G.S. INSTITUTE OF TECH. & SCIENCE, INDORE (M.P.)"
2018,85,88,6,3201,MALIBA PHARMACY COLLEGE
2018,94,93,1,2215,RAMANBHAI PATEL COLLEGE OF PHARMACY
2018,94,89,8,2000,SARDAR PATEL COLLEGE OF PHARMACY
2018,89,89,1,3124,BABA LOKNATH INSTITUTE OF PHARMACY SCIENCE AND RESEARCH CENTRE
2018,85,89,5,2954,SRI SATYA SAI PHARMACY RESEARCH INSTITUTE
2018,81,88,4,3620,VIJAY COLLEGE OF PHARMACY
2018,94,94,5,4520,GOKARAJU RANGARAJU COLLEGE OF PHARMACY
2018,93,85,2,3520,ACHARYA & B M REDDY COLLEGE OF PHARMACY
2018,85,89,5,2954,"SAURASHTRA UNIVERSITY, DEPARTMENT OF PHARMCEUTICAL SCIENCES"
2018,81,88,4,3620,N. R. VEKARIA INSTITUTE OF PHARMACY
2018,94,94,5,4520,BIRLA INSTITUTE OF TECHNOLOGY
2018,93,85,2,3520,SRI VASAVI INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,92,89,6,5230,SESHACHALA COLLEGE OF PHARMACY
2018,94,94,2,5826,JOGINPALLY B.R. PHARMACY COLLEGE
2018,89,94,1,90,MRM COLLEGE OF PHARMACY
2018,95,86,9,985,"COLLEGE OF PHARMACY,MADURAI MEDICAL COLLEGE"
2018,89,89,1,3124,ANAND PHARMACY COLLEGE
2018,85,89,5,2954,HOLY MARY INSTITUTE OF TECHNOLOGY & SCIENCE (COLLEGE OF PHARMACY)
2018,81,88,4,3620,R. K. COLLEGE OF PHARMACY
2018,94,94,5,4520,CENTRAL  INDIA INSTITUTE OF PHARMACY
2018,93,85,2,3520,KAILASH NARAYAN PATEL COLLEGE OF PHARMACY
2018,85,89,5,2954,BENGAL COLLEGE OF PHARMACEUTICAL SCIENCES & RESEARCH
2018,81,88,4,3620,CHILKUR BALAJI COLLEGE OF PHARMACY
2018,94,94,5,4520,MAHARASHTRA INSTITUTE OF PHARMACY (B. PHARM.)
2018,93,85,2,3520,SHRI RAWATPURA SARKAR INSTITUTE OF PHARMACY
2018,85,88,6,3201,"POONA COLLEGE OF PHARMACY, ERANDWANE, PUNE"
2018,94,93,1,2215,SHREE DHANVANTARY PHARMACY COLLEGE
2018,84,91,5,2956,ORIENTAL COLLEGE OF PHARMACY
2018,94,86,5,3965,TECHNOCRATS INSTITUTE OF TECHNOLOGY-PHARMACY
2018,76,81,5,3562,SWAMI VIVEKANAND COLLEGE OF PHARMACY
2018,81,89,4,4512,INDORE INSTITUTE OF PHARMACY
2018,84,92,2,5123,GRY INSTITUTE OF PHARMACY
2018,82,94,6,6845,VNS GROUP OF INSTITUTIONS
2018,93,85,2,3520,PATEL COLLEGE OF PHARMACY
2018,92,89,6,5230,NIRMALA COLLEGE OF PHARMACY
2018,94,94,2,5826,KRISHNA TEJA PHARMACY COLLEGE
2018,89,94,1,90,JNTUA OIL TECHNOLOGICAL RESEARCH INSTITUTE
2018,95,86,9,985,CHALAPATHI INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,94,94,5,4520,SRIKRISHNADEVARYA UNIVERSITY COLLEGE OF PHARMACEUTICAL SCIENCES
2018,93,85,2,3520,HINDU COLLEGE OF PHARMACY
2018,85,89,5,2954,BAPATLA COLLEGE OF PHARMACY
2018,81,88,4,3620,SHADAN WOMEN'S COLLEGE OF PHARMACY
2018,94,94,5,4520,JANGAON INSTITUTE OF PHARMACEUTICAL SCEINCES
2018,93,85,2,3520,DECCAN GROUP OF INSTITUTIONS
2018,85,88,6,3201,CMR COLLEGE OF PHARMACY
2018,94,93,1,2215,SANA COLLEGE OF PHARMACY
2018,84,91,5,2956,MALLA REDDY INSTITUTE OF PHARMACEUTICAL SCIENCES
2018,84,92,2,5123,AADHI BHAGAWAN COLLEGE OF PHARMACY
2018,82,94,6,6845,ULTRA COLLEGE OF PHARMACY
2018,93,85,2,3520,PES COLLEGE OF PHARMACY
2018,92,89,6,5230,SHREE DEVI COLLEGE OF PHARMACY
2018,94,94,2,5826,KARNATAKA COLLEGE OF PHARMACY
2018,89,94,1,90,C.N.K.REDDY COLLEGE OF PHARMACY
2018,95,86,9,985,EAST WEST COLLEGE OF PHARMACY
2018,80,89,6,854,T. JOHN COLLEGE OF PHARMACY
2018,86,87,8,1232,KARAVALI COLLEGE OF PHARMACY
2018,94,94,5,4520,SRINIVAS COLLEGE OF PHARMACY
2018,93,85,2,3520,NARGUND COLLEGE OF PHARMACY
2018,85,89,5,2954,COLLEGE OF PHARMACEUTICAL SCIENCES
2018,81,88,4,3620,AL SHIFA COLLEGE OF PHARMACY
2018,94,94,5,4520,"GOURISHANKAR INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH, LIMB, SATARA"
2018,93,85,2,3520,DATTAKALA COLLEGE OF PHARMACY
2018,85,88,6,3201,"SATARA COLLEGE OF PHARMACY,SATARA."
2018,94,93,1,2215,"SHRI RISHIKESH SHIKSHAN PRASARAK MANDAL, D.D.VISPUTE COLLEGE OF PHARMACY & RESEARCH CENTER"
2018,84,91,5,2956,IBSS COLLEGE OF PHARMACY MALKAPUR
2018,84,92,2,5123,SINHGAD TECHNICAL EDUCATION SOCIETY'S SINHGAD COLLEGE OF PHARMACY
2018,82,94,6,6845,C. U. SHAH COLLEGE OF PHARMACY
2018,93,85,2,3520,"ANURADHA COLLEGE OF PHARMACY, CHIKHLI"
2018,92,89,6,5230,"NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF PHARMACY, NAGAON,TAL. DIST. DHULE"
2018,94,94,2,5826,"ASHOKRAO MANE COLLEGE OF PHARMACY, PETH VADGAON"
2018,89,94,1,90,ADARSH COLLEGE OF PHARMACY
2018,95,86,9,985,Y. B. CHAVAN COLLEGE OF PHARMACY
2018,80,89,6,854, PADMASHREE DR D Y PATIL INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH
2018,86,87,8,1232,LOKNETE SHRI DADAPATIL- PHARATE COLLEGE OF PHARMACY
2018,92,89,6,5230,ST. JOHN INSTITUTE OF PHARMACY AND RESEARCH
2018,94,94,2,5826,TIT COLLEGE OF PHARMACY
2018,89,94,1,90,"ADINA INSTITUTE OF PHARMACEUTICAL SCIENCES, SAGAR"
2018,95,86,9,985,RAGHAVENDRA INSTITUTE OF PHARMACEUATICAL EDUCATION & RESEARCH (RIPER)
2018,80,89,6,854,NOOTAN PHARMACY COLLEGE
2018,86,87,8,1232,ARIHANT SCHOOL OF PHARMACY AND BIO-RESEARCH INSTITUTE
2019,90,89,3,98,VIJAYA INSTITUTE OF PHARMACEUTICAL SCIENCES FOR WOMEN
2019,78,85,11,1730,MNR COLLEGE OF PHARMACY
2019,76,94,7,2135,NATIONAL COLLEGE OF PHARMACY
2019,82,94,9,2654,SHRI BHAGWAN COLLEGE OF PHARMACY
2019,91,94,3,2854,SVPM'S COLLEGE OF PHARMACY
2019,76,91,1,2956,REGIONAL INSTITUTE OF PARAMEDICAL & NURSING SCIENCES
2019,86,88,1,3561,UNIVERSITY DEPARTMENT OF PHARMACEUTICAL SCIENCES
2019,81,93,1,7856,UNIVERSITY COLLEGE OF PHARMACEUTICAL SCIENCES
2019,81,87,5,245,JADAVPUR UNIVERSITY
2019,84,88,5,968,"B. PHARMACY COLLEGE, RAMPURA-KAKANPUR"
2019,76,88,8,3165,CHARAK INSTITUTE OF PHARMACY
2019,86,88,2,312,"THANTHAI ROEVER COLLEGE OF PHARMACY,PERAMBALUR-"
2019,92,86,9,4123,SIDDHARTHA INSTITUTE OF PHARMACY
2019,92,88,8,4536,VISHNU INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2019,84,81,1,298,SWAMI VIVEKANAND COLLEGE OF PHARMACY
2019,86,82,1,415,"GURU NANAK KHALSA INSTITUTES OF TECHNOLOGY AND  MANAGEMENT TECHNICAL CAMPUS, YAMUNA NAGAR"
2019,88,82,4,3965,GURU NANAK DEV UNIVERSITY
2019,89,94,8,2356,AMAR SHAHEED BABA AJIT SINGH JUJHAR SINGH MEMORIAL COLLEGE OF PHARMACY
2019,94,94,1,2865,"DEPARTMENT OF PHARMACY, KUMAUN UNIVERSITY"
2019,94,89,7,3000,SHAKTI COLLEGE OF PHARMACY
2019,91,87,5,2865,KANPUR INSTITUTE OF TECHNOLOGY AND PHARMACY
2019,88,80,1,4120,KUNWAR HARIBANSH SINGH COLLEGE OF PHARMACY
2019,94,75,1,211,RAJIV GANDHI COLLEGE OF PHARMACY
2019,89,75,7,4356,R.K.PHARMACY COLLEGE
2019,89,85,5,5426,RADHA GOVIND INSITUTE OF PHARAMCY
2019,88,86,6,6985,NKBR COLLEGE OF PHARMACY & RESEARCH CENTRE
2019,84,76,1,3997,KALKA ENGINEERING COLLEGE
2019,88,81,5,4613,"DEPARTMENT OF PHARMACY, IET, MJP ROHILKHAND UNIVERSITY"
2019,82,86,3,9854,KRS COLLEGE OF PHARMACY
2019,88,74,4,3519,R. V. NORTHLAND INSTITUTE
2019,93,85,2,1980,SMT.FULEHRA SMARAK COLLEGE OF PHARMACY
2019,94,86,6,3015,SR GROUP OF INSTITUTIONS
2019,89,92,2,2145,MORADABAD EDUCATIONAL TRUST GROUP OF INSTITUTIONS FACULTY OF PHARMACY
2019,93,86,1,3520,"MALTI MEMORIAL TRUST'S CSM ""GROUP OF INSTITUTIONS"""
2019,86,81,1,3657,BHARAT INSTITUTE OF TECHNOLOGY  (SCHOOL OF PHARMACY)
2019,89,81,3,4523,S. D. COLLEGE OF PHARMACY & VOCATIONAL STUDIES
2019,93,88,1,5511,ACHARYA NARENDRA DEO COLLEGE OF PHARMACY
2019,86,93,1,100,"RAMANAND INSTITUTE OF PHARMACY AND MANAGEMENT,HARIDWAR"
2019,85,89,9,515,OM BIO-SCIENCES & PHARMA COLLEGE
2019,78,85,11,1730,GRD (PG) IMT
2019,76,94,7,2135,"ROORKEE COLLEGE OF PHARMACY, ROORKEE."
2019,82,94,9,2654,RAJENDRA INSTITUTE OF TECHNOLOGY & SCIENCES
2019,91,94,3,2854,M. M. COLLEGE OF PHARMACY
2019,76,91,1,2956,"JAN NAYAK CH. DEVI LAL MEMORIAL COLLEGE OF PHARMACY, SIRSA"
2019,86,88,1,3561,"R.K.S.D. COLLEGE OF PHARMACY, KAITHAL"
2019,81,93,1,7856,HINDU COLLEGE OF PHARMACY
2019,89,81,3,4523,SBMN INSTITUTE OF PHARMACEUTICAL SCIENCE AND RESEARCH
2019,93,88,1,5511,RAM GOPAL COLLEGE OF PHARMACY
2019,86,93,1,100,SWAMI DEVI DYAL INSTITUTE OF PHARMACY
2019,85,89,9,515,R.P. EDUCATIONAL TRUST GROUP OF INSTITUTIONS
2019,78,85,11,1730,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, MAHARSHI DAYANAND UNIVERSITY, ROHTAK."
2019,76,94,7,2135,INSTITUTE OF PHARMACEUTICAL SCIENCES
2019,93,86,1,3520,P.D.MEMORIAL COLLEGE OF PHARMACY
2019,86,81,1,3657,CH. DEVI LAL COLLEGE OF PHARMACY
2019,89,81,3,4523,GURU GOBIND SINGH COLLEGE OF PHARMACY
2019,93,88,1,5511,"VAISH INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH, ROHTAK"
2019,85,89,9,515,KHALSA COLLEGE OF PHARMACY
2019,78,85,11,1730,"CHITKARA COLLEGE OF PHARMACY,"
2019,76,94,7,2135,"RAYAT GROUP OF INSTITUTIONS , ROPAR"
2019,93,86,1,3520,"SHIVALIK COLLEGE OF PHARMACY, NANGAL"
2019,86,81,1,3657,PCTE GROUP OF INSTITUTES
2019,89,81,3,4523,"LACHOO MEMORIAL COLLEGE OF SCIENCE & TECHNOLOGY, PHAMACY WING"
2019,88,80,1,4120,MEERUT INSTITUTE OF ENGINEERING & TECHNOLOGY
2019,94,75,1,211,LTR INSTITUTE OF TECHNOLOGY
2019,89,75,7,4356,"SAGAR INSTITUTE OF TECHNOLOGY & MANAGEMENT, DEPARTMENT OF PHARMACY"
2019,89,85,5,5426,INNOVATIVE COLLEGE OF PHARMACY
2019,88,86,6,6985,RAJIV ACADEMY FOR PHARMACY
2019,84,76,1,3997,PRASAD  INSTITUTE OF TECHNOLOGY
2019,88,81,5,4613,DEV BHOOMI INSTITUTE OF PHARMACY & RESEARCH
2019,82,86,3,9854,OXFORD COLLEGE OF PHARMACY
2019,88,74,4,3519,RAJ KUMAR GOEL INSTITUTE OF TECHNOLOGY (PHARMACY)
2019,93,85,2,1980,INSTITUTE OF PHARMACY
2019,94,86,6,3015,BHAGWANT INSTITUTE OF PHARMACY
2019,89,92,2,2145,SHRI GURU RAM RAI ACADEMY OF PHARMACEUTICAL SCIENCES
2019,93,86,1,3520,GURU JAMBHESHWAR UNIVERSITY OF SCIENCE & TECHNOLOGY
2019,86,81,1,3657,P.D.MEMORIAL SCHOOL OF PHARMACY
2019,89,81,3,4523,"LORD SHIVA COLLEGE OF PHARMACY, SIRSA"
2019,93,88,1,5511,GURU NANAK INSTITUTE OF PHARMACY
2019,86,93,1,100,GLOBAL COLLEGE OF PHARMACY
2019,85,89,9,515,BHUPAL NOBLE'S INSTITUTE OF PHARMACEUTICAL SCIENCES
2019,78,85,11,1730,I.S. F. COLLEGE OF PHARMACY
2019,76,94,7,2135,"RAMESHWARAM INSTITUTE OF TECHNOLOGY & MANAGEMENT, LUCKNOW"
2019,82,94,9,2654,DR. M.C. SAXENA COLLEGE OF PHARMACY
2019,91,94,3,2854,LUCKNOW INSTITUTE OF PHARMACY
2019,76,91,1,2956,SMT TARAWATI INSTITUTE OF BIOMEDICAL & ALLIED SCIENCES
2019,86,88,1,3561,JAMIA HAMDARD
2019,81,93,1,7856,G.H.G KHALSA COLLEGE OF PHARMACY
2019,89,81,3,4523,SHRI R.L.T.INSTITUTE OF PHARMACEUTICAL SCIENCE & TECHNOLOGY
2019,93,88,1,5511,"GOVT. INST. OF PHARMACEUTICAL SC. & ENGG., GOVT. POLY.,"
2019,86,93,1,100,VMS COLLEGE OF PHARMACY
2019,85,89,9,515,CT INSTITUTE OF PHARMACEUTICAL SCIENCES
2019,78,85,11,1730,VISHVESHWARYA GROUP OF INSTITUTIONS
2019,76,94,7,2135,"JANTA COLLEGE OF PHARMACY, BUTANA (SONEPAT)"
2019,93,86,1,3520,SHRI RAM COLLEGE OF PHARMACY
2019,86,81,1,3657,ST. SOLDIER INSTITUTE OF PHARMACY
2019,89,81,3,4523,DOABA COLLEGE OF PHARMACY
2019,89,81,3,4523,MAHATMA GANDHI COLLEGE OF PHARMACEUTICALS SCIENCES
2019,93,88,1,5511,GYAN VIHAR SCHOOL OF PHARMACY
2019,85,89,9,515,MAHARISHI ARVIND INSTITUTE OF PHARMACY
2019,86,81,1,3657,DEVSTHALI VIDYAPEETH COLLEGE OF PHARMACY
2019,89,81,3,4523,AGRA PUBLIC COLLEGE OF TECH.& MANAGEMENT
2019,89,81,3,4523,SHRI RAM MURTI SMARAK COLLEGE OF ENGINEERING AND TECHNOLOGY BAREILLY(PHARMACY)
2019,76,94,7,2135,SHRI GOPICHAND COLLEGE OF PHARMACY
2019,82,94,9,2654,"DAYANAND DINANATH COLLEGE,INSTITUTE OF PHARMACY"
2019,91,94,3,2854,MAHARANA PRATAP COLLEGE OF PHARMACY
2019,76,91,1,2956,UNIVERSITY INSTITUTE OF PHARMACEUTICAL SCIENCES
2019,86,88,1,3561,DELHI INSTITUTION OF PHARMACEUTICAL SCIENCES AND RESEARCH
2019,81,93,1,7856,BHUPAL NOBLES' COLLEGE OF PHARMACY
2019,89,81,3,4523,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, M.L. SUKHADIA UNIVERSITY"
2019,93,88,1,5511,DEPARTMENT OF PHARMACEUTICAL SCIENCES & DRUG RESEARCH
2019,86,93,1,100,BABU BANARASI DAS NORTHERN INDIA INSTITUTE OF TECHNOLOGY
2019,85,89,9,515,DR. K.N. MODI INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2019,89,81,3,4523,SHREE DEV BHOOMI INSTITUTE OF EDUCATION SCIENCE & TECHNOLLOGY
2019,89,81,3,4523,SAI COLLEGE OF PHARMACY
2019,76,94,7,2135,"LALA LAJPAT RAI COLLEGE OF PHARMACY, MOGA"
2019,82,94,9,2654,SACHDEVA COLLEGE OF PHARMACY
2019,91,94,3,2854,GANPATI INSTITUTE OF PHARMACY
2019,76,91,1,2956,IIMT COLLEGE OF PHARMACY(FACULY OF PHARMACY)
2019,89,81,3,4523,NOIDA INSTITUTE OF ENGINEERING AND TECHNOLOGY (PHARMACY INSTITUTE)
2019,88,80,1,4120,LLOYD INSTITUTE OF MANAGEMENT & TECHNOLOGY(PHARM)
2019,94,75,1,211,"KAMLA NEHRU INSITUTE OF MANAGEMENT & TECHNOLOGY,FACULTY OF PHARMACY"
2019,89,75,7,4356,I.T.S PARAMEDICAL COLLEGE
2019,89,85,5,5426,TRANSLAM INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH
2019,88,86,6,6985,ADVANCED INSTITUTE OF PHARMACY
2019,84,76,1,3997,B.S.ANANGPURIA INSTITUTE OF PHARMACY
2019,88,81,5,4613,ARYA COLLEGE OF PHARMACY
2019,82,86,3,9854,G D MEMORIAL COLLEGE OF PHARMACY
2019,88,74,4,3519,CHANDIGARH COLLEGE OF PHARMACY
2019,93,85,2,1980,HIMT COLLEGE OF PHARMACY
2019,94,86,6,3015,SANJIVANI COLLEGE OF PHARMACEUTICAL SCENCES
2019,89,92,2,2145,GYANI INDER SINGH INSTITUTE OF PROFESSIONAL STUDIES
2019,93,86,1,3520,IIMT COLLEGE OF MEDICAL SCIENCES
2019,86,81,1,3657,PHARMACY COLLEGE
2019,89,81,3,4523,RAYAT & BAHRA INSTITUTE OF PHARMACY
2019,93,88,1,5511,SHREE GANPATI INSTITUTE OF TECHNOLOGY
2019,86,93,1,100,ALWAR PHARMACY COLLEGE
2019,85,89,9,515,JAIPUR NATIONAL UNIVERSITY (SCHOOL OF PHAM. SC.)
2019,78,85,11,1730,RAM-EESH INSTITUTE OF VOCATIONAL AND TECHNICAL EDUCATION
2019,76,94,7,2135,KIET GROUP OF INSTITUTIONS
2019,82,94,9,2654,"FACULTY OF PHARMACY,RAJA BALWANT SINGH ENGINEERING TECHNICAL CAMPUS,AGRA"
2019,91,94,3,2854,JAIPUR  COLLEGE OF PHARMACY
2019,76,91,1,2956,NANDINI NAGAR MAHAVIDYALAYA COLLEGE OF PHARMACY
2019,86,88,1,3561,SIDDHI VINAYAK COLLEGE OF SCIENCE & HR. EDUCATION
2019,81,93,1,7856,SARDAR BHAGWAN SINGH POST GRADUATE INSTITUTE OF BIO-MEDICAL SCIENCES & RESEARCH
2019,89,81,3,4523,PHARMACY COLLEGE SAIFAI
2019,93,88,1,5511,BAHRA INSTITUTE OF PHARMACY
2019,86,93,1,100,SHRINATHJI INSTITUTE OF PHARMACY
2019,85,89,9,515,COLLEGE OF PHARMACY AGRA
2019,78,85,11,1730,MAHAVEER COLLEGE OF PHARMACY
2019,76,94,7,2135,SHIVDAN SINGH INSTITUTE OF TECHNOLOGY & MANAGEMENT
2019,93,86,1,3520,SIR MADANLAL INSTITUTE OF PHARMACY
2019,86,81,1,3657,BABA ISHER SINGH COLLEGE OF PHARMACY
2019,89,81,3,4523,SWAMI KESHVANAND INSTITUTE OF PHARMACY
2019,89,81,3,4523,ANJALI COLLEGE OF PHARMACY & SCIENCE
2019,93,88,1,5511,CHANDRA SHEKHAR SINGH COLLEGE OF PHARMACY
2019,85,89,9,515,SAVITRI DEVI MEMORIAL COLLEGE OF PHARMACY
2019,86,81,1,3657,SMT. VIDYAWATI COLLEGE OF PHARMACY
2019,89,81,3,4523,SCHOOL OF PHARMACEUTICAL EDU. &  RES.
2019,89,81,3,4523,"COLLEGE OF PHARMACY, PT. B.D. SHARMA UNIVERSITY OF HEALTH SCIENCES, ROHTAK"
2019,76,94,7,2135,"S.D.COLLEGE OF PHARMACY, BARNALA"
2019,82,94,9,2654,H.R.C.T. GROUP OF INSTITUTIONS
2019,91,94,3,2854,IEC GROUP OF INSTITUTIONS
2019,76,91,1,2956,KOTA COLLEGE OF PHARMACY
2019,86,88,1,3561,SARASWATI HIGHER EDUCATION & TECHNICAL COLLEGE OF PHARMACY
2019,81,93,1,7856,SHAHEED BHAGAT SINGH POLYTECHNIC & PHARMACY COLLEGE
2019,89,81,3,4523,INSTITUTE OF TECHNOLOGY AND MANAGEMENT
2019,93,88,1,5511,SAI INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH
2019,86,93,1,100,INSTITUTE OF PHARMACY & EMERGING SCIENCES
2019,85,89,9,515,SCHOOL OF PHARMACY
2019,89,81,3,4523,HIMALAYAN INSTITUTE OF PHARMACY
2019,89,81,3,4523,"GOVT. COLLEGE OF PHARMACY,ROHRU"
2019,76,94,7,2135,SHIVA INSTITUTE OF B PHARMACY
2019,82,94,9,2654,HIMACHAL INSTITUTE OF PHARMACEUTICAL EDUCATION & RESEARCH
2019,91,94,3,2854,L. R. INSTITUTE OF PHARMACY
2019,76,91,1,2956,HIMACHAL INSTITUTE OF PHARMACY
2019,86,88,1,3561,ABHILASHI COLLEGE OF PHARMACY
2019,81,93,1,7856,VINAYAKA COLLEGE OF PHARMACY
2019,89,81,3,4523,LAUREATE INSTITUTE OF PHARMACY
2019,93,88,1,5511,SRI SAI COLLEGE OF PHARMACY
2019,86,93,1,100,UNIVERSITY INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH
2019,85,89,9,515,MAHARISHI ARVIND COLLEGE OF PHARMACY
2019,78,85,11,1730,RAJASTHAN  PHARMACY COLLEGE
2019,85,89,9,515,ADVANCE INSTITUTE OF BIOTECH & PARAMEDICAL SCIENCES
2019,89,81,3,4523,VIVEK COLLEGE OF TECHNICAL EDUCATION
2019,89,81,3,4523,B.B.S. INSTITUTE OF PHARMACEUTICAL & ALLIED SCIENCES
2019,76,94,7,2135,KAILASH INSTITUTE OF PHARMACY AND MANAGEMENT
2019,82,94,9,2654,VARANASI COLLEGE OF PHARMACY
2019,91,94,3,2854,PSIT-PRANVEER SINGH INSTITUTE OF TECHNOLOGY
2019,76,91,1,2956,INSTITUTE OF PHARMACEUTICAL SCIENCES & RESEARCH (IPSR)
2019,86,88,1,3561,DR.B.R.AMBEDKAR POOJA COLLEGE OF PHARMACY
2019,81,93,1,7856,ASHOKA INSTITUTE OF TECHNOLOGY AND MANAGEMENT
2019,89,81,3,4523,J.K. INSTITUTE OF PHARMACY & MANAGEMENT
2019,93,88,1,5511,GOEL INSTITUTE OF PHARMACY & SCIENCES
2019,86,93,1,100,KRISHNAPIT INSITUTE OF PHARMACY
2019,85,89,9,515,"HYGIA INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,LUCKNOW"
2019,78,85,11,1730,"RAJARSHI RANANJAY SINH COLLEGE OF PHARMACY, AMETHI"
2019,89,81,3,4523,"UNITED INSTITUTE OF PHARMACY, UCER"
2019,93,88,1,5511,SUNDER DEEP GROUP OF INSTITUTIONS
2019,86,93,1,100,SHERWOOD COLLEGE OF PHARMACY
2019,85,89,9,515,ALIGARH COLLEGE OF PHARMACY

